
2024/01/03 (20:02:07) | ===> btop++ v.1.2.13
2024/01/03 (20:02:07) | INFO: Logger set to DEBUG
2024/01/03 (20:02:07) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/01/03 (20:02:07) | INFO: Running on /dev/pts/1

2024/06/17 (13:23:38) | ===> btop++ v.1.3.2
2024/06/17 (13:23:38) | INFO: Logger set to DEBUG
2024/06/17 (13:23:38) | DEBUG: Using locale en_US.UTF-8
2024/06/17 (13:23:38) | INFO: Running on /dev/pts/1
2024/06/17 (13:23:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/17 (13:23:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/17 (13:23:38) | DEBUG: Shared::init() : Initialized.

2024/06/18 (16:33:01) | ===> btop++ v.1.3.2
2024/06/18 (16:33:01) | INFO: Logger set to DEBUG
2024/06/18 (16:33:01) | DEBUG: Using locale en_US.UTF-8
2024/06/18 (16:33:01) | INFO: Running on /dev/pts/6
2024/06/18 (16:33:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/18 (16:33:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/18 (16:33:01) | DEBUG: Shared::init() : Initialized.
2024/06/18 (16:33:05) | DEBUG: Writing new config file
2024/06/18 (16:33:05) | INFO: Quitting! Runtime: 00:00:04

2024/06/18 (16:33:07) | ===> btop++ v.1.3.2
2024/06/18 (16:33:07) | INFO: Logger set to DEBUG
2024/06/18 (16:33:07) | DEBUG: Using locale en_US.UTF-8
2024/06/18 (16:33:07) | INFO: Running on /dev/pts/6
2024/06/18 (16:33:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/18 (16:33:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/18 (16:33:07) | DEBUG: Shared::init() : Initialized.
2024/06/18 (16:33:10) | INFO: Quitting! Runtime: 00:00:03

2024/06/18 (16:33:18) | ===> btop++ v.1.3.2
2024/06/18 (16:33:18) | INFO: Logger set to DEBUG
2024/06/18 (16:33:18) | DEBUG: Using locale en_US.UTF-8
2024/06/18 (16:33:18) | INFO: Running on /dev/pts/6
2024/06/18 (16:33:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/18 (16:33:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/18 (16:33:18) | DEBUG: Shared::init() : Initialized.
2024/06/18 (16:33:20) | INFO: Quitting! Runtime: 00:00:02

2024/06/18 (16:34:46) | ===> btop++ v.1.3.2
2024/06/18 (16:34:46) | INFO: Logger set to DEBUG
2024/06/18 (16:34:46) | DEBUG: Using locale en_US.UTF-8
2024/06/18 (16:34:46) | INFO: Running on /dev/pts/4
2024/06/18 (16:34:46) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/18 (16:34:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/18 (16:34:46) | DEBUG: Shared::init() : Initialized.
2024/06/18 (16:34:48) | INFO: Quitting! Runtime: 00:00:02

2024/06/18 (16:34:49) | ===> btop++ v.1.3.2
2024/06/18 (16:34:49) | INFO: Logger set to DEBUG
2024/06/18 (16:34:49) | DEBUG: Using locale en_US.UTF-8
2024/06/18 (16:34:49) | INFO: Running on /dev/pts/4
2024/06/18 (16:34:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/18 (16:34:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/18 (16:34:49) | DEBUG: Shared::init() : Initialized.

2024/06/19 (20:27:21) | ===> btop++ v.1.3.2
2024/06/19 (20:27:21) | INFO: Logger set to DEBUG
2024/06/19 (20:27:21) | DEBUG: Using locale en_US.UTF-8
2024/06/19 (20:27:21) | INFO: Running on /dev/pts/0
2024/06/19 (20:27:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/19 (20:27:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/19 (20:27:21) | DEBUG: Shared::init() : Initialized.
2024/06/19 (20:27:24) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2024/06/19 (20:27:25) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2024/06/19 (20:27:26) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/06/19 (20:27:26) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2024/06/19 (20:27:27) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/06/19 (20:27:27) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2024/06/19 (20:27:28) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2024/06/19 (20:27:28) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/06/19 (20:27:28) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2024/06/19 (20:27:29) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/06/19 (20:27:33) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2024/06/19 (20:27:34) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2024/06/19 (20:27:38) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2024/06/19 (20:27:38) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/06/19 (20:27:38) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2024/06/19 (20:27:38) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
